序号,省份,城市,景区名称,景区类型,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,建议游览时长(h),日均酒景预算(元),交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化生态独特价值,基础设施与配套,性价比,综合加权满意度
1,北京,东城区,故宫博物院,历史文化,9.35,7.2,7.4,8.3,8.55,4,549,9.6,7.0,春秋,4-5月/9-10月,10.0,8.7,8.4,8.69
2,北京,海淀区,颐和园,皇家园林,9.25,7.7,7.1,8.3,7.9,4,519,9.6,7.0,春秋夏,4-10月,9.5,8.7,8.65,8.59
3,北京,延庆区/怀柔区,八达岭-慕田峪长城旅游区,历史文化,8.9,6.7,6.1,7.8,8.05,5,619,8.6,7.0,春秋,4-5月/9-10月,10.0,8.2,6.75,8.08
4,北京,东城区,天坛公园,历史文化,8.6,7.2,7.9,7.8,8.4,3,424,9.6,8.0,四季,3-11月,9.0,8.7,9.45,8.55
5,北京,昌平区,明十三陵景区,历史文化,8.35,6.7,6.9,7.3,7.55,4,494,8.6,7.0,春秋,4-5月/9-10月,9.0,8.2,8.0,7.94
6,北京,西城区,恭王府景区,历史文化,8.45,6.7,7.6,7.8,8.05,2,494,9.6,8.0,四季,3-11月,8.5,8.45,8.2,8.22
7,北京,朝阳区,奥林匹克公园,现代景观,8.3,8.3,7.4,7.3,7.4,3,474,9.6,8.0,四季,5-10月,7.5,8.85,8.95,8.18
8,北京,海淀区,圆明园景区,历史遗址,8.5,7.2,7.9,7.8,8.05,3,424,9.6,7.0,春夏秋,4-10月,9.0,8.45,9.2,8.41
9,北京,通州区,大运河文化旅游景区,文化旅游,8.1,7.2,7.6,7.3,7.55,3,494,9.1,7.0,春秋,4-5月/9-10月,8.0,8.05,8.2,7.9
10,天津,南开区,天津古文化街旅游区,历史文化,8.2,7.2,7.9,7.3,8.05,3,374,9.1,8.0,四季,3-11月,8.0,8.2,9.2,8.13
11,天津,蓟州区,盘山风景名胜区,自然山岳,8.55,6.7,5.7,8.2,7.4,5,444,8.1,7.0,春秋,4-5月/9-10月,8.0,7.95,8.05,7.72
12,河北,秦皇岛市,山海关景区,历史文化,8.45,7.2,6.2,8.5,7.8,4,466,7.9,7.0,夏秋,5-10月,9.0,7.75,7.5,7.91
13,河北,承德市,承德避暑山庄及周围寺庙,历史文化,8.6,7.2,7.0,8.3,7.95,6,441,7.4,6.0,夏秋,6-9月,9.5,7.75,8.6,8.06
14,河北,保定市,安新白洋淀景区,自然生态,8.2,7.2,6.6,7.7,6.8,5,391,7.4,5.0,夏,6-8月,8.0,7.25,8.15,7.44
15,河北,保定市,野三坡风景名胜区,自然山水,8.35,7.2,6.1,8.2,7.3,5,416,7.4,6.0,夏秋,5-10月,8.0,7.5,8.4,7.62
16,河北,石家庄市,西柏坡景区,红色旅游,8.35,6.7,7.6,7.3,7.95,3,374,7.6,8.0,四季,4-10月,9.0,7.85,8.95,8.02
17,河北,邯郸市,娲皇宫景区,历史文化,8.2,6.7,6.6,7.3,7.45,3,366,7.4,7.0,春秋,4-5月/9-10月,8.5,7.25,8.6,7.63
18,河北,保定市,清西陵景区,历史文化,8.1,6.2,6.9,7.3,7.45,4,391,6.9,7.0,春秋,4-5月/9-10月,8.5,7.25,8.6,7.55
19,河北,邢台市,崆山白云洞景区,自然溶洞,7.8,6.0,5.0,7.0,7.0,3,300,6.0,8.0,四季,5-10月,7.5,7.0,8.0,6.99
20,河北,唐山市,清东陵景区,历史文化,8.25,6.2,6.9,7.3,7.45,4,391,7.4,7.0,春秋,4-5月/9-10月,9.0,7.5,8.6,7.73
21,河北,石家庄市,正定古城景区,历史文化,8.5,7.0,7.0,8.0,8.0,4,300,8.0,8.0,四季,3-11月,8.5,8.0,9.0,8.08
22,河北,保定市,白石山景区,自然山岳,8.45,6.2,5.2,8.2,7.3,5,466,7.4,6.0,夏秋,5-10月,8.0,7.5,7.45,7.39
23,河北,衡水市,衡水湖旅游景区,自然生态,8.2,7.6,7.4,8.0,7.3,4,416,7.4,6.0,春夏秋,4-10月,7.5,7.5,7.85,7.59
24,山西,大同市,云冈石窟,历史文化,8.95,7.2,7.1,8.3,8.45,3,416,7.4,7.0,春秋,5-10月,10.0,8.0,8.95,8.35
25,山西,忻州市,五台山风景名胜区,宗教文化,8.9,6.2,5.7,8.2,7.7,8,496,6.9,5.0,夏,6-8月,9.5,7.0,7.75,7.63
26,山西,晋中市,平遥古城,历史文化,9.1,7.6,7.4,8.6,8.45,6,541,7.9,7.0,春秋,4-5月/9-10月,9.5,7.75,7.4,8.26
27,山西,晋城市,皇城相府景区,历史文化,8.55,6.7,7.1,7.8,7.45,3,391,6.9,7.0,春秋,4-5月/9-10月,8.5,7.5,8.7,7.76
28,山西,临汾市/延安市,黄河壶口瀑布旅游区,自然景观,8.9,6.7,5.7,8.5,7.75,2,410,6.75,5.0,春秋,4-5月/9-10月,9.0,7.1,8.55,7.69
29,山西,介休市,绵山风景区,自然人文,8.65,6.7,5.7,8.2,7.3,5,416,7.4,6.0,春夏秋,4-10月,8.0,7.5,8.45,7.59
30,山西,运城市,关帝庙景区,历史文化,8.2,5.0,6.0,7.0,7.0,2,300,7.0,8.0,四季,3-11月,8.5,7.0,8.5,7.35
31,山西,忻州市,雁门关景区,历史文化,8.35,6.2,5.6,7.7,7.7,3,371,6.4,6.0,夏秋,5-10月,8.5,6.75,8.7,7.39
32,山西,长治市,太行山大峡谷八泉峡景区,自然峡谷,8.55,6.2,5.2,8.2,7.1,5,466,6.9,6.0,夏秋,5-10月,8.5,7.5,7.4,7.41
33,山西,太原市,晋祠天龙山景区,历史文化,8.35,6.7,6.7,7.8,7.95,4,424,8.1,7.0,春秋,4-5月/9-10月,9.0,7.85,8.45,7.95
34,内蒙古,鄂尔多斯市,成吉思汗陵旅游区,历史文化,8.1,6.7,6.9,7.3,7.45,3,416,6.9,6.0,夏秋,6-9月,8.5,7.25,8.1,7.49
35,内蒙古,赤峰市,克什克腾石阵景区,自然地质,8.3,5.0,4.0,7.0,7.0,5,450,5.0,4.0,夏,6-8月,8.5,6.5,7.0,6.61
36,内蒙古,鄂尔多斯市,响沙湾旅游景区,沙漠旅游,8.3,7.2,5.6,8.2,6.8,4,466,6.9,4.0,春秋,5-6月/9-10月,8.0,7.5,7.9,7.33
37,内蒙古,阿拉善盟,额济纳胡杨林旅游区,自然生态,8.7,6.2,5.6,8.2,7.5,4,496,5.4,2.0,秋,9-10月,9.5,6.25,8.2,7.22
38,内蒙古,满洲里市,满洲里中俄边境旅游区,边境文化,8.1,6.7,6.1,7.3,7.1,3,466,6.4,5.0,夏,6-8月,7.5,7.25,8.05,7.15
39,内蒙古,阿尔山市,阿尔山-柴河旅游景区,自然生态,8.45,6.2,5.2,8.2,7.2,6,446,5.4,4.0,夏秋,6-9月,9.0,6.5,8.4,7.2
40,内蒙古,呼和浩特市,老牛湾黄河大峡谷旅游区,自然峡谷,8.3,5.7,5.2,7.7,7.1,4,474,6.6,5.0,夏秋,5-10月,8.0,7.1,7.35,7.08
41,辽宁,沈阳市,沈阳植物园,生态园林,8.15,8.7,7.1,7.3,7.4,4,374,9.1,6.0,春夏秋,4-10月,7.0,8.35,8.7,7.85
42,辽宁,大连市,金石滩国家旅游度假区,海滨度假,8.45,7.7,7.1,8.2,7.4,6,544,8.6,6.0,夏,6-9月,8.0,8.45,7.75,7.93
43,辽宁,大连市,老虎滩海洋公园,海洋主题,8.4,9.2,6.9,7.6,6.9,5,474,9.1,6.0,夏,5-10月,7.5,8.6,8.45,7.99
44,辽宁,本溪市,本溪水洞景区,自然溶洞,8.35,7.2,6.1,7.7,7.3,3,416,7.4,7.0,夏秋,5-10月,8.0,7.5,8.4,7.62
45,辽宁,鞍山市,千山景区,自然山岳,8.2,6.2,5.2,7.7,7.3,5,391,7.4,6.0,夏秋,5-10月,7.5,7.25,8.35,7.28
46,辽宁,丹东市,鸭绿江景区,边境风光,8.0,6.0,6.0,7.0,7.0,3,400,7.0,7.0,春夏秋,4-10月,7.5,7.0,7.5,7.11
47,吉林,延边州,长白山景区,自然火山,9.3,6.7,5.2,8.2,7.7,6,546,6.4,4.0,夏秋冬,7-9月/12-2月,9.5,7.25,8.7,7.7
48,吉林,吉林市,长白山鲁能胜地旅游度假区,度假休闲,8.0,8.0,6.0,8.0,6.0,5,800,6.0,5.0,夏冬,6-9月/12-2月,7.0,8.0,6.5,7.04
49,吉林,长春市,伪满皇宫博物院,历史文化,8.35,6.7,7.1,7.3,7.95,3,424,8.6,8.0,四季,4-10月,9.0,7.85,8.7,8.06
50,吉林,长春市,长影世纪城,影视主题,8.2,7.7,6.1,7.7,6.8,5,474,8.1,7.0,夏,5-10月,7.0,7.6,8.0,7.49
51,吉林,长春市,净月潭景区,自然生态,8.3,7.2,6.6,8.2,7.3,4,424,8.1,6.0,夏秋冬,5-10月/12-2月,7.5,7.85,8.5,7.69
52,吉林,通化市,高句丽文物古迹旅游景区,历史遗迹,8.1,6.2,6.6,7.3,7.45,3,391,6.9,7.0,夏秋,5-10月,9.0,7.0,8.35,7.55
53,吉林,敦化市,六鼎山文化旅游区,宗教文化,8.3,6.7,6.2,7.3,7.35,4,396,6.4,6.0,夏秋,5-10月,7.5,6.75,8.7,7.25
54,吉林,大安市,大安嫩江湾旅游区,自然生态,8.1,6.7,6.6,7.7,6.8,3,366,6.4,5.0,夏秋,5-9月,7.5,7.25,8.65,7.26
55,黑龙江,哈尔滨市,太阳岛景区,城市公园,8.35,7.7,7.1,8.0,7.4,4,544,9.1,5.0,夏冬,6-8月/12-2月,7.5,8.2,7.3,7.75
56,黑龙江,黑河市,五大连池风景区,自然地质,8.45,6.2,6.1,7.7,7.3,5,416,6.4,4.0,夏,6-8月,9.0,7.25,8.4,7.42
57,黑龙江,伊春市,汤旺河林海奇石景区,自然森林,8.2,6.2,5.6,8.0,7.3,4,466,6.4,4.0,夏秋,6-9月,8.0,7.0,7.55,7.12
58,黑龙江,牡丹江市,镜泊湖景区,自然湖泊,8.35,7.1,6.4,8.5,7.3,5,491,6.9,4.0,夏,6-8月,8.5,7.25,7.35,7.46
59,黑龙江,哈尔滨市,哈尔滨冰雪大世界,冰雪主题,9.0,8.0,4.0,9.0,7.0,3,800,9.0,2.0,冬,12-2月,9.0,8.0,6.5,7.66
60,黑龙江,齐齐哈尔市,扎龙生态旅游区,自然生态,8.25,6.7,6.1,7.3,7.3,3,391,6.9,4.0,夏,5-9月,8.5,7.25,8.55,7.38
61,上海,浦东新区,上海科技馆,科技场馆,8.4,9.2,6.6,7.1,7.4,4,524,9.6,9.0,四季,全年,7.5,8.85,8.7,8.21
62,上海,浦东新区,上海野生动物园,动物园,8.3,9.2,6.1,7.6,6.4,5,524,9.1,7.0,春秋,3-5月/9-11月,7.0,8.6,8.45,7.84
63,上海,浦东新区,东方明珠广播电视塔,现代地标,8.35,7.2,6.6,7.8,7.9,2,524,9.6,9.0,四季,全年,8.0,8.7,8.45,8.18
64,上海,青浦区,上海朱家角古镇景区,古镇水乡,8.2,7.0,7.0,8.0,8.0,4,600,8.0,8.0,春秋,3-5月/9-11月,8.0,8.0,8.0,7.87
65,江苏,南京市,钟山风景名胜区-中山陵园,历史文化,8.95,7.2,7.0,8.3,8.55,5,494,9.1,7.0,春秋,3-5月/9-11月,9.5,8.7,8.8,8.51
66,江苏,南京市,夫子庙-秦淮风光带,历史文化,8.5,7.2,7.6,8.3,8.05,4,494,9.6,8.0,四季,3-11月,9.0,8.7,8.45,8.45
67,江苏,苏州市,拙政园,古典园林,9.1,6.7,7.9,8.6,8.35,2,571,7.9,8.0,春秋,3-5月/9-11月,9.5,7.75,7.8,8.31
68,江苏,苏州市,周庄古镇,古镇水乡,9.0,7.6,7.9,8.6,7.85,5,571,7.4,8.0,春秋,3-5月/9-11月,9.0,7.5,7.25,8.12
69,江苏,苏州市,金鸡湖景区,城市湖泊,8.3,7.6,7.4,8.5,7.2,3,546,7.9,8.0,四季,3-11月,7.5,7.75,8.05,7.84
70,江苏,苏州市,吴中太湖旅游区,自然湖泊,8.35,7.6,6.9,8.5,7.2,5,496,7.4,7.0,春夏秋,4-10月,8.0,7.25,8.05,7.72
71,江苏,苏州市,沙家浜·虞山尚湖旅游区,红色生态,8.2,7.6,7.0,8.0,6.7,4,446,6.9,7.0,春秋,3-5月/9-11月,7.5,7.0,8.0,7.46
72,江苏,无锡市,鼋头渚旅游风景区,自然湖泊,8.8,7.2,7.1,8.7,7.9,4,494,9.1,7.0,春,3-4月,8.5,8.45,8.35,8.27
73,江苏,无锡市,灵山大佛景区,宗教文化,8.75,7.2,6.2,8.2,7.4,4,494,8.6,8.0,四季,3-11月,8.5,8.7,8.05,8.1
74,江苏,无锡市,三国水浒城,影视主题,8.0,7.2,6.1,7.7,6.9,4,494,8.6,8.0,四季,3-11月,7.0,8.2,7.9,7.59
75,江苏,常州市,环球恐龙城休闲旅游区,主题乐园,8.4,9.2,5.6,7.3,6.2,6,426,7.4,7.0,春夏秋,4-10月,7.0,7.65,8.45,7.49
76,江苏,扬州市,瘦西湖风景区,古典园林,9.2,7.6,7.4,9.0,7.7,4,571,7.4,7.0,春,3-5月,9.0,7.5,7.25,8.09
77,江苏,镇江市,金山-焦山-北固山旅游景区,历史文化,8.55,6.7,6.2,8.2,7.4,5,444,8.6,7.0,春秋,3-5月/9-11月,8.0,7.95,8.3,7.84
78,江苏,南通市,濠河景区,城市风光,8.4,7.2,7.1,7.7,7.4,3,444,8.6,8.0,四季,3-11月,7.5,8.2,8.6,7.91
79,江苏,泰州市,溱湖国家湿地公园,自然湿地,8.0,7.0,6.0,7.0,6.0,4,400,7.0,6.0,春秋,4-5月/9-10月,7.5,7.5,8.0,7.16
80,江苏,淮安市,周恩来故里景区,红色旅游,8.35,6.7,7.9,7.3,7.95,3,329,8.1,8.0,四季,3-11月,9.0,7.85,9.45,8.14
81,江苏,盐城市,中华麋鹿园,自然生态,8.2,7.7,6.1,7.2,6.8,3,399,7.1,6.0,春秋,4-5月/9-10月,8.0,7.35,8.5,7.45
82,江苏,连云港市,花果山景区,自然人文,8.35,7.2,5.7,7.7,7.3,5,424,7.6,7.0,春秋,4-5月/9-10月,8.0,7.6,8.45,7.62
83,江苏,徐州市,云龙湖景区,城市湖泊,8.3,7.6,7.4,8.5,7.2,3,421,7.4,8.0,四季,3-11月,7.5,7.25,8.55,7.78
84,江苏,南京市,牛首山文化旅游区,宗教文化,8.5,6.0,5.0,8.0,7.0,4,500,8.0,7.0,春秋,3-5月/9-11月,8.5,8.5,7.5,7.63
85,江苏,苏州市,同里古镇,古镇水乡,8.45,7.6,7.9,8.1,7.85,4,546,7.4,8.0,春秋,3-5月/9-11月,8.5,7.25,7.15,7.87
86,江苏,常州市,天目湖景区,自然湖泊,8.35,8.1,6.9,8.5,6.7,5,496,6.9,7.0,春秋,4-5月/9-10月,7.5,7.25,7.8,7.58
87,江苏,宿迁市,三台山国家森林公园,自然森林,8.0,7.0,6.0,7.0,7.0,4,300,7.0,6.0,春,3-5月,7.0,7.5,8.5,7.21
88,江苏,南京市,栖霞山风景名胜区,自然山岳,8.3,6.0,5.0,8.0,8.0,4,450,8.0,5.0,秋,10-12月,8.0,7.5,8.0,7.43
89,江苏,苏州市,虎丘山风景名胜区,历史文化,8.5,6.0,6.0,8.0,8.0,3,550,9.0,8.0,四季,3-11月,9.0,8.5,8.0,8.06
90,江苏,徐州市,徐州汉文化景区,历史文化,8.0,6.0,6.0,7.0,7.0,3,350,8.0,8.0,四季,3-11月,8.5,7.5,8.5,7.56
91,浙江,杭州市,西湖风景名胜区,自然湖泊,9.45,8.1,7.9,9.5,8.2,5,671,8.4,8.0,四季,3-5月/9-11月,10.0,8.0,7.75,8.7
92,浙江,杭州市,千岛湖风景名胜区,自然湖泊,8.8,7.6,6.4,9.0,7.2,6,546,6.9,7.0,春夏秋,4-10月,8.5,7.25,7.9,7.81
93,浙江,杭州市,西溪国家湿地公园,自然湿地,8.45,7.6,7.1,9.0,7.7,4,546,7.9,7.0,春秋,3-5月/9-11月,8.0,7.5,7.75,7.9
94,浙江,杭州市,良渚古城遗址公园,历史遗址,8.5,7.0,6.0,8.0,8.0,3,600,8.0,7.0,春秋,3-5月/9-11月,9.5,8.0,8.0,8.01
95,浙江,温州市,雁荡山风景区,自然山岳,8.65,6.2,5.2,8.2,7.7,6,496,6.9,7.0,春秋,4-5月/9-10月,8.5,7.0,7.75,7.5
96,浙江,舟山市,普陀山风景名胜区,宗教文化,8.9,6.2,5.7,8.2,7.8,6,616,7.4,7.0,春秋,3-5月/9-11月,9.5,7.75,7.55,7.86
97,浙江,宁波市,溪口-滕头旅游景区,历史人文,8.35,6.7,6.6,8.2,7.4,5,494,8.1,7.0,春秋,3-5月/9-11月,8.0,7.95,8.0,7.76
98,浙江,嘉兴市,南湖景区,红色旅游,8.45,7.1,7.4,8.0,7.8,3,474,8.1,8.0,四季,3-11月,9.0,7.85,8.05,8.08
99,浙江,嘉兴市,乌镇景区,古镇水乡,9.2,7.6,7.9,8.6,7.95,5,649,8.1,8.0,春秋,3-5月/9-11月,9.0,8.35,6.85,8.29
100,浙江,湖州市,南浔古镇,古镇水乡,8.55,7.6,7.9,8.1,7.85,4,546,6.9,8.0,春秋,3-5月/9-11月,8.5,7.25,7.4,7.86
101,浙江,绍兴市,鲁迅故里沈园景区,历史文化,8.35,6.7,7.9,7.8,7.95,3,354,8.1,8.0,四季,3-11月,9.0,7.85,9.45,8.19
102,浙江,金华市,东阳横店影视城,影视主题,8.4,8.7,6.1,7.8,7.3,8,454,7.6,8.0,四季,3-11月,7.5,8.25,8.45,7.84
103,浙江,衢州市,江郎山·廿八都景区,自然人文,8.2,6.2,5.2,7.7,7.2,5,396,6.4,7.0,春秋,4-5月/9-10月,8.0,6.75,8.9,7.29
104,浙江,台州市,天台山景区,宗教文化,8.35,6.2,5.7,7.7,7.2,5,396,6.9,6.0,春秋,4-5月/9-10月,8.0,6.75,8.65,7.33
105,浙江,台州市,神仙居景区,自然山岳,8.6,6.2,5.6,8.2,7.7,5,421,6.9,6.0,春秋,4-5月/9-10月,8.5,7.0,8.7,7.56
106,浙江,丽水市,仙都国家级风景名胜区,自然山水,8.3,5.0,5.0,8.0,8.0,4,400,6.0,7.0,春秋,4-5月/9-10月,8.0,7.0,8.0,7.19
107,浙江,宁波市,天一阁·月湖景区,历史文化,8.35,7.1,7.4,8.5,7.9,3,544,9.1,8.0,四季,3-11月,8.5,8.2,7.85,8.17
108,浙江,湖州市,莫干山风景名胜区,自然山水,8.5,6.0,5.0,9.0,7.0,5,800,7.0,7.0,夏秋,5-10月,8.0,8.0,7.0,7.45
109,浙江,金华市,双龙风景旅游区,自然溶洞,8.1,6.7,6.1,7.3,7.3,4,424,7.6,7.0,春秋,4-5月/9-10月,7.5,7.35,8.4,7.43
110,浙江,杭州市,富春江-新安江风景名胜区,自然山水,8.5,6.0,5.0,9.0,7.0,5,600,7.0,7.0,春秋,3-5月/9-10月,8.5,7.5,7.5,7.51
111,浙江,温州市,刘伯温故里景区,历史人文,8.1,6.2,6.9,7.3,7.35,4,326,6.4,7.0,春秋,4-5月/9-10月,8.0,6.75,8.7,7.36
112,浙江,绍兴市,会稽山景区,自然人文,8.0,5.0,5.0,7.0,7.0,4,400,7.0,7.0,春秋,3-5月/9-10月,8.0,7.0,7.5,7.02
113,安徽,黄山市,黄山风景区,自然山岳,9.45,5.7,4.7,8.7,7.8,8,666,7.4,6.0,春秋,4-5月/9-11月,10.0,7.75,7.7,7.91
114,安徽,池州市,九华山风景区,宗教文化,9.2,5.7,5.2,8.2,7.7,6,546,6.9,6.0,春秋,3-5月/9-11月,9.5,7.25,7.85,7.68
115,安徽,安庆市,天柱山风景区,自然山岳,8.65,6.2,5.2,8.2,7.3,6,441,7.4,6.0,春秋,4-5月/9-10月,8.0,7.5,8.45,7.51
116,安徽,黄山市,西递-宏村,古村落,9.1,6.7,6.6,8.3,8.3,5,466,7.4,7.0,春秋,3-5月/9-11月,9.5,7.75,8.8,8.16
117,安徽,黄山市,古徽州文化旅游区,历史文化,8.55,6.7,7.1,7.8,7.95,5,466,7.4,7.0,春秋,3-5月/9-11月,9.0,7.5,8.7,7.93
118,安徽,六安市,天堂寨风景区,自然山水,8.35,6.2,5.6,7.7,7.3,5,466,6.9,6.0,夏秋,5-10月,8.0,7.25,7.5,7.29
