序号,国家,区域,城市,景区名称,景区类型,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,建议游览时长(h),日均酒景预算(USD),交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,综合加权满意度
1,日本,东亚,大阪,大阪城与道顿堀,历史美食,9,9,8,8.5,9,5,180,10,8,全年,3-5月/9-11月,8.5,9.5,7.5,9.5,9.5,8.92
2,日本,东亚,东京,浅草寺与东京塔,历史文化,9,8,8,8.5,9,4,200,10,8,全年,3-5月/10-11月,9,10,6,9.5,9.5,8.87
3,日本,东亚,京都,清水寺·金阁寺·伏见稻荷,历史文化,9.5,7,7,9.5,9,8,220,9,7,春秋,3-5月/10-11月,10,9.5,6,9.5,9.5,8.85
4,日本,东亚,奈良,奈良公园与东大寺,历史文化,9,9,7,8.5,8.5,5,150,8,8,春秋,3-5月/10-11月,9.5,8.5,7.5,9.5,9.5,8.7
5,日本,东亚,广岛,严岛神社(海上�的鸟居),历史文化,9.2,7,7,9,8.5,5,160,8,7,全年,3-5月/10-11月,10,9,7,9.5,9.5,8.68
6,韩国,东亚,首尔,景福宫与北村韩屋村,历史文化,8.8,7,7,8.5,9,4,150,10,8,春秋,3-5月/9-11月,9,9.5,7.5,9,9,8.68
7,韩国,东亚,首尔,N首尔塔与明洞,都市地标,8.5,7,7,9,9,4,130,10,8,全年,3-5月/9-11月,7.5,9.5,7.5,9,9,8.49
8,日本,东亚,箱根,箱根温泉与芦之湖,温泉休闲,9,7,8,9.5,8,6,250,8,7,秋冬,10-2月,8.5,9,6,9.5,9.5,8.47
9,韩国,东亚,釜山,海云台与甘川文化村,海滨文化,8.5,7,6,9,8.5,5,130,9,7,夏秋,6-10月,8,9,7.5,9,9,8.29
10,日本,东亚,�的矢湾,伊势神宫,宗教文化,8.8,5,7,8,8.5,4,170,7,8,全年,10-11月/4-5月,9.5,8.5,7,9.5,9.5,8.28
11,日本,东亚,富士山,富士山与河口湖,自然文化,9.5,7,4,9.5,8,6,200,7,5,夏秋,7-8月(登山)/11-2月(观景),10,8,6.5,9.5,9.5,8.25
12,日本,东亚,冲绳,美丽海水族馆与万座毛,海岛休闲,8.8,9,7,9,7,6,200,7,8,全年,3-6月/9-11月,8,9,6.5,9,9,8.23
13,韩国,东亚,济州岛,汉拿山与城山日出峰,自然文化,9,8,5,9,8,8,160,7,7,春秋,4-6月/9-11月,9.5,8.5,7,9,8.5,8.23
14,日本,东亚,北海道,富良野·美瑛花田,自然风光,9.2,8,6,9.5,8,6,180,6,4,夏,6-8月,9,8,6.5,9.5,9.5,8.15
15,韩国,东亚,庆州,佛国寺与石窟庵,历史文化,8.8,6,6,8,8,5,120,7,7,春秋,4-5月/10-11月,9.5,8,8,9,9,8.13
16,日本,东亚,白川乡,白川乡合掌造,世界遗产,9.3,6,5,9.5,8.5,4,200,5,5,冬,1-2月/10-11月,10,7,6.5,9.5,9.5,8.0
17,蒙古国,东亚,乌兰巴托,成吉思汗骑马雕像,历史文化,8,5,4,7.5,8,3,80,6,4,夏,6-8月,8,5.5,8,6.5,6,6.62
18,蒙古国,东亚,中部,特勒吉国家公园,自然生态,8.5,6,3,8,8.5,10,70,4,3,夏,6-9月,9,5,8.5,6,5.5,6.57
19,新加坡,东南亚,新加坡,滨海湾花园与金沙,都市地标,9.2,9,8,9.5,9,5,200,10,8,全年,2-4月,8.5,10,6.5,9.5,9.5,9.0
20,新加坡,东南亚,新加坡,新加坡动物园与夜间动物园,生态乐园,9,10,7,8,7.5,6,150,9,8,全年,2-4月,8.5,9.5,7,9.5,9.5,8.68
21,马来西亚,东南亚,吉隆坡,双子塔与独立广场,都市地标,8.8,8,7,8.5,9,4,100,10,8,全年,5-9月,8,9.5,8,8.5,8.5,8.55
22,泰国,东南亚,曼谷,大皇宫与玉佛寺,历史文化,9,7,7,8.5,9,3,80,10,7,冬春,11-2月,9.5,8.5,9,8,8,8.54
23,马来西亚,东南亚,槟城,乔治市历史区,世界遗产,9,8,7,9,9,6,70,8,8,全年,12-3月,9,8,8.5,8.5,9,8.52
24,泰国,东南亚,清迈,双龙寺与古城,历史文化,9,8,7,9,9,6,60,8,7,冬春,11-2月,9,8,9.5,8.5,8.5,8.49
25,新加坡,东南亚,新加坡,圣淘沙岛环球影城,主题乐园,9,10,6,8,7,8,220,10,8,全年,2-4月,7,10,6,9.5,9.5,8.45
26,越南,东南亚,会安,会安古镇,世界遗产,9,7,7,9.5,9,5,45,7,7,春,2-4月,9.5,7.5,9.5,8,8,8.31
27,马来西亚,东南亚,马六甲,马六甲历史城区,世界遗产,8.5,7,7,8,8.5,4,60,7,8,全年,5-9月,9,7.5,8.5,8.5,9,8.15
28,印度尼西亚,东南亚,巴厘岛,海神庙与乌布梯田,文化自然,9,7,6,9.5,8.5,6,80,7,8,旱季,4-10月,9.5,8,8.5,7.5,7,8.09
29,泰国,东南亚,普吉岛,攀牙湾(007岛),自然海岛,9,8,6,9.5,7.5,6,100,7,7,冬春,11-4月,9,8.5,8,7.5,7.5,8.05
30,马来西亚,东南亚,兰卡威,兰卡威天空之桥与地质公园,海岛自然,8.8,7,5,9.5,7,6,90,7,7,冬春,11-3月,9,8,8,8.5,8.5,8.03
31,越南,东南亚,河内,还剑湖与三十六行街,历史文化,8.5,6,6,8,9,4,50,9,8,春秋,10-4月,8.5,7.5,9.5,7.5,7.5,7.98
32,越南,东南亚,胡志明市,战争遗迹博物馆与中央邮局,历史文化,8.5,5,7,7.5,9,3,55,9,8,冬春,12-4月,8.5,8,9,7.5,7.5,7.95
33,泰国,东南亚,清莱,白庙与蓝庙,文化艺术,8.8,7,6,9,8.5,4,50,6,6,冬春,11-2月,8.5,7,9,8.5,8.5,7.92
34,泰国,东南亚,甲米,奥南海滩与四岛,海岛休闲,8.8,7,5,9.5,8,6,80,6,7,冬春,11-4月,9,7.5,8.5,8,8,7.89
35,柬埔寨,东南亚,暹粒,吴哥窟,世界遗产,9.5,6,5,9,9,10,60,6,6,冬春,11-3月,10,7,9,7,7,7.81
36,越南,东南亚,宁平,长安名胜群,自然文化,9,6,5,9,8,6,40,6,7,春秋,1-3月/9-11月,9.5,6.5,9.5,8,7.5,7.8
37,泰国,东南亚,大城,大城历史公园,世界遗产,8.5,5,5,8,8.5,5,50,7,7,冬春,11-2月,9.5,7,9,8,8,7.78
38,越南,东南亚,顺化,顺化皇城,世界遗产,8.5,5,6,8,8.5,4,40,7,7,春秋,2-4月/9-11月,9.5,7,9.5,7.5,7.5,7.77
39,越南,东南亚,岘港,巴拿山与灵应寺,综合度假,8.5,8,5,9,7,6,70,7,7,春,2-5月,8,8,8.5,8,7.5,7.76
40,老挝,东南亚,琅勃拉邦,琅勃拉邦古城,世界遗产,9,6,6,9,9,6,40,5,6,冬春,11-3月,9.5,6,9.5,8,7.5,7.75
41,越南,东南亚,下龙湾,下龙湾,自然奇观,9.2,7,5,9.5,7.5,10,80,6,6,春秋,10-4月,9.5,7,8.5,7.5,7,7.73
42,印度尼西亚,东南亚,日惹,婆罗浮屠,世界遗产,9.2,6,5,8.5,8.5,4,50,6,7,旱季,5-9月,10,7,9,7,6.5,7.69
43,柬埔寨,东南亚,暹粒,巴戎寺(吴哥通王城),世界遗产,9.2,5,5,9,9,5,60,6,6,冬春,11-3月,10,6.5,9,7,7,7.66
44,马来西亚,东南亚,沙巴,仙本那与京那巴鲁山,自然生态,9,7,4,9,8,8,80,5,6,春,3-5月,9.5,7,8.5,8,7.5,7.66
45,泰国,东南亚,素可泰,素可泰历史公园,世界遗产,8.5,5,5,8,8.5,5,45,5,6,冬春,11-2月,9.5,6.5,9,8.5,8.5,7.62
46,印度尼西亚,东南亚,日惹,普兰巴南,世界遗产,8.8,5,5,8.5,8.5,3,50,6,7,旱季,5-9月,9.5,7,9,7,6.5,7.52
47,泰国,东南亚,苏梅岛,安通国家海洋公园,海岛生态,8.5,6,4,9.5,7,6,120,6,6,冬春,12-4月,9,7,8,8,7.5,7.5
48,泰国,东南亚,芭提雅,芭提雅海滩与真理寺,海滨休闲,8,8,6,8,7,5,80,8,8,冬春,11-3月,7,8,8,7,7,7.49
49,柬埔寨,东南亚,金边,金边皇宫与银阁寺,历史文化,8,5,6,7,8,3,50,8,8,冬春,11-3月,8.5,7,9,6.5,6.5,7.36
50,老挝,东南亚,琅勃拉邦,光西瀑布,自然风光,8.8,7,4,8.5,8,4,35,5,5,冬春,11-3月,8.5,5.5,9.5,8,7.5,7.35
51,老挝,东南亚,万象,塔銮,宗教文化,8,4,6,7,8,2,30,7,8,冬春,11-3月,8.5,6.5,9.5,7.5,7,7.35
52,菲律宾,东南亚,长滩岛,白沙滩,海岛度假,8.5,7,5,9.5,7,5,80,6,7,旱季,11-5月,7.5,7.5,8,7,6,7.27
53,缅甸,东南亚,仰光,大金塔,宗教文化,9,5,6,7.5,8.5,3,40,7,7,冬,11-2月,9.5,6,9.5,5.5,5,7.24
54,印度尼西亚,东南亚,巴厘岛,努沙佩尼达岛,海岛自然,8.8,5,3,9,8,6,70,5,7,旱季,4-10月,9,6,8.5,7.5,7,7.23
55,菲律宾,东南亚,薄荷岛,巧克力山与眼镜猴,自然奇观,8.5,7,5,8.5,7.5,5,60,5,7,旱季,12-5月,8.5,6.5,8.5,7,6,7.2
56,菲律宾,东南亚,巴拉望,爱妮岛与地下河,自然奇观,9.2,6,3,9.5,8,8,80,4,6,旱季,11-5月,10,6,8.5,6.5,5.5,7.14
57,越南,东南亚,沙巴(越南),番西邦峰与梯田,自然人文,8.8,5,3,8.5,8.5,8,50,5,4,秋,9-11月,9,6,9,7,7,7.09
58,缅甸,东南亚,蒲甘,蒲甘佛塔群,世界遗产,9,4,4,8.5,9,8,40,4,5,冬,11-2月,10,5,9.5,6,5.5,6.92
59,菲律宾,东南亚,宿务,奥斯洛布鲸鲨,自然体验,8.5,5,3,8,7.5,5,60,6,7,全年,11-5月,8.5,6.5,8.5,6.5,5.5,6.9
60,印度尼西亚,东南亚,科莫多,科莫多国家公园,自然生态,9,5,3,8,8,10,120,4,5,旱季,4-10月,10,5.5,7.5,7,6,6.88
61,澳大利亚,澳新,悉尼,悉尼歌剧院与海港大桥,文化地标,9.5,7,8,9.5,9,3,180,10,8,全年,3-5月/9-11月,9.5,9.5,6,9,8.5,8.82
62,新西兰,澳新,罗托鲁阿,怀奥塔普地热公园,自然奇观,9,8,7,8,8,4,120,7,8,全年,10-4月,9.5,8,7.5,9.5,9,8.39
63,澳大利亚,澳新,堪培拉,澳大利亚战争纪念馆,历史文化,8.5,6,8,7,8.5,4,100,8,8,全年,3-5月/9-11月,8.5,9,8,9.5,9,8.3
64,新西兰,澳新,皇后镇,瓦纳卡湖,自然风光,9.2,7,6,9.5,9,5,150,7,7,夏秋,11-3月,9,7.5,7,9.5,9,8.28
65,澳大利亚,澳新,墨尔本,大洋路十二使徒岩,自然奇观,9.3,7,6,9.5,8,8,150,7,7,夏秋,11-4月,9.5,8,7,9,8.5,8.25
66,新西兰,澳新,皇后镇,米尔福德峡湾,自然奇观,9.5,7,5,9.5,8,10,200,6,6,夏秋,11-4月,10,8,6.5,9.5,9,8.22
67,澳大利亚,澳新,悉尼,蓝山国家公园,自然生态,9,8,6,8.5,8,6,120,8,7,春秋,9-11月/3-5月,9,8,7,9,8.5,8.21
68,新西兰,澳新,特卡波,特卡波湖暗夜星空保护区,自然奇观,9.2,6,5,10,9,5,150,6,6,秋冬,4-9月,10,6.5,7,9.5,9,8.11
69,新西兰,澳新,霍比屯,霍比屯电影布景,文化娱乐,8.8,8,7,8.5,7,3,130,7,8,全年,10-4月,8,8,6.5,9.5,9,8.08
70,澳大利亚,澳新,凯恩斯,大堡礁,自然生态,9.5,8,5,9.5,7,8,250,7,6,冬春,6-10月,10,8,6,8.5,8,8.07
71,新西兰,澳新,凯库拉,凯库拉观鲸,自然生态,9,7,6,8.5,8,5,200,6,7,全年,10-3月,9,7.5,6.5,9.5,9,8.01
72,新西兰,澳新,奥克兰,怀赫科岛,休闲度假,8.5,6,6,9.5,7,6,170,7,7,夏,11-3月,8,8,6.5,9.5,9,7.91
73,澳大利亚,澳新,塔斯马尼亚,摇篮山-圣克莱尔湖国家公园,自然生态,9,7,5,9,8.5,8,160,5,6,夏秋,12-4月,9.5,7,7,9.5,8.5,7.9
74,新西兰,澳新,库克山,库克山国家公园,自然生态,9.3,6,4,9,8.5,8,180,5,5,夏,11-3月,10,7,6.5,9.5,9,7.85
75,澳大利亚,澳新,黄金海岸,华纳兄弟电影世界,主题乐园,8.5,9.5,5,7.5,6,8,180,8,8,全年,9-11月,7,9,6.5,9,8.5,7.83
76,澳大利亚,澳新,凯恩斯,丹翠雨林,自然生态,8.8,7,5,8.5,8,6,150,6,7,旱季,4-10月,9.5,7,7,9,8,7.82
77,澳大利亚,澳新,阿德莱德,袋鼠岛,自然生态,8.8,8,5,9,7.5,8,200,5,7,春夏,9-3月,9,7,6.5,9.5,8.5,7.81
78,澳大利亚,澳新,乌鲁鲁,乌鲁鲁-卡塔丘塔国家公园,自然文化,9.2,6,4,9,8.5,8,200,5,5,秋冬,4-9月,10,7,6,9,8,7.65
79,澳大利亚,澳新,珀斯,尖峰石阵沙漠,自然奇观,8.5,6,5,8.5,8,5,130,6,7,春秋,9-11月/3-5月,8.5,6.5,7,9.5,8.5,7.65
80,新西兰,澳新,汤加里罗,汤加里罗国家公园,自然文化,9,5,3,8.5,8,8,140,6,5,夏,11-4月,9.5,7,7,9,9,7.63
81,澳大利亚,澳新,达尔文,卡卡杜国家公园,自然文化,8.8,6,4,8,8,10,180,5,5,旱季,5-10月,9.5,6.5,6.5,8.5,7.5,7.32
82,阿联酋,西亚,迪拜,哈利法塔与迪拜喷泉,都市地标,9.5,8,7,9.5,9,4,250,10,8,冬春,11-3月,8.5,10,5.5,9,8.5,8.7
83,阿联酋,西亚,阿布扎比,卢浮宫阿布扎比,文化艺术,9,6,8,9,9,4,220,8,7,冬春,11-3月,9.5,10,6,9,8.5,8.51
84,阿联酋,西亚,阿布扎比,谢赫扎耶德大清真寺,宗教文化,9.5,6,7,9,9,3,200,8,7,冬春,11-3月,9.5,9.5,6,9,8.5,8.46
85,卡塔尔,西亚,多哈,伊斯兰艺术博物馆,文化艺术,9,6,8,8.5,9,3,200,9,6,冬,11-3月,9.5,9.5,5.5,9,8,8.37
86,阿联酋,西亚,迪拜,棕榈岛亚特兰蒂斯,度假综合体,9,9,6,9.5,6,8,350,9,7,冬春,11-3月,7.5,10,5,9,8.5,8.18
87,以色列,西亚,特拉维夫,雅法老城与海滨,历史海滨,8.5,6,7,9,8.5,4,180,9,8,全年,4-6月/9-11月,8.5,9,6,8,7,7.99
88,阿曼,西亚,马斯喀特,苏丹卡布斯大清真寺,宗教文化,9,5,7,8,8.5,3,150,7,5,冬,10-3月,9.5,8,7,9,8,7.94
89,卡塔尔,西亚,多哈,瓦基夫传统市场,传统文化,8.5,6,6,8,8.5,3,180,9,6,冬,11-3月,8.5,8.5,6,9,8,7.92
90,以色列,西亚,耶路撒冷,耶路撒冷老城(哭墙·圣墓教堂),宗教历史,9.5,5,6,8,9,6,180,8,7,春秋,3-5月/9-11月,10,8.5,6.5,7,6.5,7.86
91,约旦,西亚,佩特拉,佩特拉古城,世界遗产,9.5,5,4,9,9,8,120,5,5,春秋,3-5月/9-11月,10,7,7.5,7.5,7,7.52
92,阿曼,西亚,尼兹瓦,尼兹瓦古堡与市场,历史文化,8.5,5,5,8,8.5,4,100,5,5,冬,10-3月,9,6.5,8,9,8,7.45
93,约旦,西亚,死海,死海漂浮体验,自然奇观,8.5,6,6,9,7,3,100,6,6,春秋,3-5月/10-11月,8.5,7,7,8,7,7.4
94,约旦,西亚,亚喀巴,瓦迪拉姆沙漠,自然奇观,9.2,5,3,9.5,8.5,8,80,4,5,春秋,3-5月/10-11月,10,6,8,7.5,7,7.28
95,土耳其,西亚/东欧,伊斯坦布尔,圣索菲亚大教堂与蓝色清真寺,历史文化,9.5,6,7,9.5,9,6,100,9,7,春秋,4-6月/9-10月,10,8.5,8,7.5,7,8.38
96,格鲁吉亚,西亚/东欧,第比利斯,第比利斯老城与硫磺浴,历史文化,8.8,6,6,9,9,5,50,7,7,春夏秋,5-10月,9,7,9.5,8,7.5,7.96
97,土耳其,西亚/东欧,安塔利亚,安塔利亚老城与海滩,海滨历史,8.5,7,6,9,8,6,80,7,7,春夏秋,4-10月,8.5,8,8.5,7.5,7,7.79
98,土耳其,西亚/东欧,棉花堡,棉花堡温泉阶地,自然奇观,9,7,5,9,7.5,4,70,6,7,春秋,4-6月/9-10月,9.5,7.5,8.5,7.5,7,7.76
99,土耳其,西亚/东欧,卡帕多西亚,格雷梅露天博物馆与热气球,自然文化,9.5,6,4,10,8.5,8,120,5,5,春秋夏,4-6月/9-10月,10,7.5,8,7.5,7,7.71
100,土耳其,西亚/东欧,以弗所,以弗所古城遗址,世界遗产,9,5,5,8,8.5,4,70,6,6,春秋,4-5月/9-10月,10,7,8.5,7.5,7,7.59
101,格鲁吉亚,西亚/东欧,卡兹别吉,圣三一教堂(格尔格蒂),自然宗教,9.2,4,3,9.5,9,5,40,4,4,夏,6-9月,10,5.5,9.5,8,7.5,7.37
102,亚美尼亚,西亚/东欧,埃奇米阿津,埃奇米阿津大教堂,世界遗产,8.5,4,6,7.5,8.5,3,40,5,7,夏秋,5-10月,9.5,6,9,7.5,7,7.33
103,亚美尼亚,西亚/东欧,加尼,加尼神庙与格哈尔德修道院,历史文化,8.8,4,4,8,8.5,5,40,5,6,夏秋,5-10月,9.5,5.5,9,7.5,7,7.19
104,伊朗,西亚(免签),伊斯法罕,伊玛目广场,世界遗产,9.2,5,6,8,9,5,40,5,5,春秋,3-5月/9-11月,10,6,9.5,6.5,7,7.46
105,伊朗,西亚(免签),亚兹德,亚兹德古城,世界遗产,8.8,4,5,8,9,5,30,5,6,春秋,3-5月/10-11月,10,5.5,9.5,7,7.5,7.38
106,伊朗,西亚(免签),设拉子,波斯波利斯,世界遗产,9,4,5,8,9,4,35,5,5,春秋,3-5月/10-11月,10,5.5,9.5,6.5,7,7.27
107,乌兹别克斯坦,中亚,撒马尔罕,雷吉斯坦广场,世界遗产,9.5,5,6,9,9.5,5,40,6,5,春秋,4-5月/9-10月,10,6.5,9.5,7.5,7.5,7.88
108,乌兹别克斯坦,中亚,布哈拉,布哈拉古城,世界遗产,9,5,6,8.5,9,6,35,5,5,春秋,4-5月/9-10月,10,6,9.5,7.5,7.5,7.63
109,乌兹别克斯坦,中亚,希瓦,希瓦内城(伊钦-卡拉),世界遗产,9,4,5,8.5,9,4,30,4,5,春秋,4-5月/9-10月,10,5.5,9.5,7.5,7.5,7.38
110,哈萨克斯坦,中亚,努尔苏丹,巴伊杰列克观景塔,都市地标,7.5,6,7,7,7.5,2,60,8,5,夏,5-9月,7,8,8,8,7.5,7.35
111,哈萨克斯坦,中亚,阿拉木图,大阿拉木图湖,自然风光,8.5,5,4,8.5,8.5,4,40,5,5,夏秋,6-9月,8.5,5,9,7.5,7.5,7.08
112,哈萨克斯坦,中亚,阿拉木图,恰伦大峡谷,自然奇观,8.5,5,3,8,8.5,6,50,5,4,夏秋,5-10月,9,5.5,9,7,7,6.96
113,吉尔吉斯斯坦,中亚,伊塞克湖,伊塞克湖,自然风光,8.5,6,4,8.5,8,6,40,4,4,夏,6-9月,8.5,5,9.5,6.5,6.5,6.83
114,吉尔吉斯斯坦,中亚,比什凯克,阿拉阿查国家公园,自然生态,8,5,3,7.5,8,5,30,5,3,夏,6-9月,8.5,4.5,9.5,6.5,6,6.51
115,捷克,东欧,布拉格,布拉格老城广场与查理大桥,历史文化,9.5,7,7,9.5,9,5,120,9,8,春秋,4-6月/9-10月,10,9,7,8.5,8.5,8.71
116,匈牙利,东欧,布达佩斯,布达城堡与渔人堡,历史文化,9.2,7,6,9.5,9,5,100,9,7,春夏秋,4-10月,9.5,9,8,8,8,8.48
117,匈牙利,东欧,布达佩斯,匈牙利国会大厦与多瑙河夜景,都市地标,9.2,6,7,9.5,9,4,100,9,8,全年,4-6月/9-10月,9.5,9,7.5,8,8,8.48
118,波兰,东欧,克拉科夫,瓦维尔城堡与老城,历史文化,9,6,7,8.5,9,5,80,8,7,夏秋,5-9月,9.5,8.5,8.5,8.5,8,8.33
119,匈牙利,东欧,布达佩斯,塞切尼温泉浴场,温泉休闲,9,7,8,9,8,3,80,9,8,全年,10-4月,8,9,8,8,8,8.32
120,捷克,东欧,克鲁姆洛夫,CK小镇(捷克克鲁姆洛夫),世界遗产,9.5,6,6,10,8.5,5,90,6,7,春夏秋,5-9月,10,8,8,8.5,8.5,8.29
121,波兰,东欧,华沙,华沙老城,世界遗产,8.5,6,7,8,9,4,70,9,8,夏,5-9月,9,8.5,8.5,8.5,8,8.29
122,克罗地亚,东欧,杜布罗夫尼克,杜布罗夫尼克老城,世界遗产,9.5,6,5,10,8.5,5,150,7,6,夏秋,5-10月,10,8.5,6.5,8,8,8.12
123,塞尔维亚,东欧,贝尔格莱德,卡莱梅格丹城堡与老城,历史文化,8.5,6,6,8.5,9,4,50,8,7,春夏秋,5-10月,8.5,7.5,9.5,7.5,7.5,7.9
124,俄罗斯,东欧,莫斯科,克里姆林宫与红场,历史文化,9.5,6,7,8.5,9,5,120,9,5,夏,6-9月,10,8.5,7.5,6,5.5,7.89
125,捷克,东欧,卡罗维发利,卡罗维发利温泉镇,温泉文化,8.5,5,8,9,8,4,100,6,7,夏秋,5-10月,8.5,8,7.5,8.5,8.5,7.89
126,罗马尼亚,东欧,锡纳亚,佩莱斯城堡,历史文化,9,6,6,9,8,3,50,6,7,夏秋,5-10月,9.5,7,9,8,7.5,7.88
127,克罗地亚,东欧,斯普利特,戴克里先宫,世界遗产,8.8,5,6,9,8.5,4,120,7,6,夏,5-9月,9.5,8,7,8,8,7.87
128,克罗地亚,东欧,十六湖,普利特维采湖群国家公园,自然奇观,9.5,7,5,9,8,6,100,5,6,春夏秋,5-9月,10,7.5,7,8,8,7.84
129,俄罗斯,东欧,圣彼得堡,冬宫(埃尔米塔日博物馆),文化艺术,9.5,5,7,9,9.5,6,130,8,5,夏,6-8月,10,8.5,7,6,5.5,7.78
130,塞尔维亚,东欧,诺维萨德,彼得罗瓦拉丁要塞,历史文化,8.5,5,6,8.5,8.5,3,40,7,7,夏,6-9月,8.5,7,9.5,8,8,7.78
131,保加利亚,东欧,普罗夫迪夫,普罗夫迪夫古城与罗马剧场,历史文化,8.5,5,6,8,8.5,4,35,7,7,夏秋,5-10月,9,7,9.5,8,7.5,7.75
132,黑山,东欧,科托尔,科托尔古城与峡湾,世界遗产,9.2,5,5,9.5,8.5,5,80,5,6,夏秋,5-10月,10,7,8,8,7.5,7.72
133,波兰,东欧,奥斯维辛,奥斯维辛集中营,历史纪念,9,3,5,6,8.5,4,60,7,7,春夏秋,4-10月,10,7.5,8.5,8.5,8,7.68
134,罗马尼亚,东欧,布兰,布兰城堡(德古拉城堡),历史传说,8.8,7,5,8.5,8,3,60,6,7,春夏秋,5-10月,8.5,7,9,8,7.5,7.68
135,罗马尼亚,东欧,锡吉什瓦拉,锡吉什瓦拉历史中心,世界遗产,8.5,5,6,8.5,8.5,3,45,5,7,夏,6-9月,9.5,6.5,9.5,8,7.5,7.65
136,保加利亚,东欧,索非亚,里拉修道院,世界遗产,8.8,5,5,8,8.5,4,40,6,6,夏秋,5-10月,9.5,6.5,9.5,8,7.5,7.63
137,北马其顿,东欧,奥赫里德,奥赫里德湖与古城,世界遗产,8.8,6,6,9,8.5,5,35,5,6,夏秋,6-9月,9.5,6,10,7.5,7,7.63
138,波黑,东欧,莫斯塔尔,莫斯塔尔老桥,世界遗产,9,5,5,9,9,3,40,5,7,春夏秋,5-10月,9.5,6.5,9.5,7.5,7,7.62
139,波黑,东欧,萨拉热窝,萨拉热窝老城巴什察尔希亚,历史文化,8.5,5,6,8,9,4,40,6,7,夏,5-10月,8.5,6.5,9.5,7.5,7,7.49
140,黑山,东欧,布德瓦,布德瓦老城与海滩,海滨历史,8.5,6,5,9,8,4,80,6,6,夏,6-9月,8,7.5,7.5,8,7.5,7.46
141,俄罗斯,东欧,圣彼得堡,彼得夏宫,皇家园林,9.2,6,6,9,8.5,5,100,7,4,夏,6-8月,9.5,8,7,6,5.5,7.45
142,阿尔巴尼亚,东欧,培拉特,培拉特千窗之城,世界遗产,8.5,4,5,8.5,9,4,30,5,6,春夏秋,5-9月,9.5,5.5,10,7.5,7,7.36
143,阿尔巴尼亚,东欧,吉诺卡斯特,吉诺卡斯特古城,世界遗产,8.5,4,4,8,9,4,30,5,6,春夏秋,5-9月,9.5,5.5,10,7.5,7,7.26
144,俄罗斯,东欧,贝加尔湖,贝加尔湖,自然奇观,9.5,5,3,9,9,10,80,4,3,夏冬,7-8月/1-3月,10,6,8,6.5,6,7.03
145,斯里兰卡,南亚(免签),加勒,加勒古堡,世界遗产,8.8,6,6,9,8.5,4,50,6,6,冬春,12-3月,9,6.5,9,7,6.5,7.53
146,斯里兰卡,南亚(免签),康提,佛牙寺,宗教文化,8.5,5,6,7.5,8.5,3,45,6,7,冬春,12-3月,9,6.5,9,7,6.5,7.35
147,斯里兰卡,南亚(免签),锡吉里耶,狮子岩,世界遗产,9.2,5,3,8.5,8.5,4,50,5,7,冬春,12-3月,10,6,9,7,6.5,7.33
148,埃及,非洲/西亚,开罗,吉萨金字塔群与狮身人面像,世界遗产,9.5,6,5,8.5,8,4,70,7,6,冬春,10-4月,10,7,8,5.5,5,7.37
149,埃及,非洲/西亚,卢克索,帝王谷与卡纳克神庙,世界遗产,9.2,4,4,8,8.5,6,60,5,5,冬,11-3月,10,6,8.5,5.5,5,6.88
150,摩洛哥,非洲(免签),马拉喀什,杰马夫纳广场与老城,文化体验,9,6,5,8.5,8.5,6,60,7,6,春秋,3-5月/9-11月,9.5,7,8.5,6.5,6,7.51
151,摩洛哥,非洲(免签),舍夫沙万,蓝色小镇舍夫沙万,文化风情,9,5,4,9.5,9,3,45,5,6,春秋,3-5月/9-11月,8.5,5.5,9,7,6.5,7.19
152,摩洛哥,非洲(免签),非斯,非斯古城麦地那,世界遗产,8.8,4,4,7.5,8.5,5,50,6,6,春秋,3-5月/9-11月,10,6,8.5,6.5,6,7.11
