序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,口碑方差,备注,综合加权满意度,特色活动与玩法,数据来源
1,东南亚,印度尼西亚,,巴厘岛,AYANA度假村,,度假酒店,悬崖度假,,9.2,7.0,6.0,10.0,6.0,6-16岁,,48,70,USD,7.0,8.0,全年,4-10月,8.0,9.5,6.5,7.5,7.0,1.5,印度尼西亚巴厘岛悬崖度假,7.85,Rock Bar·悬崖餐厅·12泳池·SPA·浮潜,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
2,东南亚,印度尼西亚,,巴厘岛,乌布虹夕诺雅,,度假酒店,丛林度假,,9.5,5.0,5.0,10.0,7.0,8-18岁,,48,70,USD,6.0,8.0,全年,4-10月,9.0,9.5,5.5,7.5,7.0,1.4,印度尼西亚巴厘岛丛林度假,7.71,河谷泳池·巴厘SPA·瑜伽·稻田漫步·寺庙拜访·烹饪课,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
3,东南亚,印度尼西亚,,巴厘岛,Waterbom水上乐园,,主题乐园,水上乐园,,8.8,9.0,5.0,8.0,6.0,4-16岁,,6,70,USD,8.0,8.0,全年,4-10月,6.0,8.5,8.5,7.5,7.0,2.6,印度尼西亚巴厘岛水上乐园,7.62,极速滑道·懒人河·FlowRider冲浪·Gazebo,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
4,东南亚,印度尼西亚,,巴厘岛,巴厘野生动物园,,生态乐园,动物园,,8.5,9.0,6.0,7.5,6.0,2-12岁,,5,70,USD,7.0,8.0,全年,4-10月,7.5,8.0,8.0,7.5,7.0,1.8,印度尼西亚巴厘岛动物园,7.58,夜间动物园·大象·水乐园·狮子餐厅,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
5,东南亚,印度尼西亚,,龙目岛,龙目岛诺富特度假酒店,,度假酒店,海岛度假,,8.5,7.0,5.0,9.5,7.0,4-14岁,,48,120,USD,5.0,7.0,旱季,4-10月,7.5,8.0,8.0,7.5,7.0,2.4,印度尼西亚龙目岛海岛度假,7.41,浮潜·冲浪·SPA·吉利群岛跳岛·林贾尼火山观景,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
6,南亚(免签),斯里兰卡,,加勒,安缦加勒酒店,,度假酒店,殖民奢华,,9.5,5.0,6.0,10.0,7.0,全年龄,,48,500,USD,6.0,6.0,冬春,12-3月,9.0,9.5,5.5,7.0,6.5,1.2,斯里兰卡加勒殖民奢华,7.57,古堡·泳池·SPA·海龟孵化·高跷钓鱼·乌纳瓦图纳,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
7,南亚(免签),斯里兰卡,,锡吉里耶,Heritance Kandalama,,度假酒店,丛林生态,,9.0,6.0,5.0,9.0,7.0,6-16岁,,48,150,USD,5.0,7.0,冬春,12-3月,8.5,8.0,7.5,7.0,6.5,1.7,斯里兰卡锡吉里耶丛林生态,7.33,丛林酒店·狮子岩·猴群·鸟类·无边泳池·Ayurveda SPA,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
8,东南亚,新加坡,,新加坡,滨海湾花园+金沙,,度假综合体,都市度假,,9.2,9.0,8.0,9.5,9.0,全年龄,,8,200,USD,10.0,8.0,全年,全年,8.5,10.0,6.5,9.5,9.5,0.8,未来主义超级树和花穹，新加坡名片,9.03,超级树灯光秀·云雾林·花穹·无边泳池·购物·赌场·艺术科学博物馆,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
9,东南亚,新加坡,,新加坡,环球影城(圣淘沙),,主题乐园,环球影城,,9.5,9.5,6.0,9.0,7.0,4-18岁,,10,180,USD,10.0,8.0,全年,2-4月,8.0,10.0,7.0,9.5,9.5,0.9,全球最小但精华最集中的环球影城,8.83,变形金刚·木乃伊·侏罗纪·史瑞克4D·太空堡垒,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
10,东南亚,新加坡,,新加坡,S.E.A.海洋馆,,主题乐园,海洋主题,,9.0,9.5,8.0,8.0,7.0,2-14岁,,4,180,USD,10.0,8.0,全年,全年,8.0,10.0,7.0,9.5,9.5,0.7,新加坡新加坡海洋主题,8.79,最大水族窗·10万海洋生物·鲨鱼·水母·触摸池,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
11,东南亚,新加坡,,新加坡,嘉佩乐酒店,,度假酒店,奢华度假,,9.5,7.0,8.0,10.0,6.0,全年龄,,48,180,USD,10.0,8.0,全年,全年,8.5,10.0,5.0,9.5,9.5,0.5,新加坡新加坡奢华度假,8.72,殖民建筑·植物园·无边泳池·SPA·沙滩·管家,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
12,东南亚,新加坡,,新加坡,新加坡动物园+夜间动物园,,生态乐园,动物园,,9.0,10.0,7.0,7.5,6.0,2-12岁,,8,180,USD,9.0,8.0,全年,全年,8.0,9.5,7.0,9.5,9.5,0.5,新加坡新加坡动物园,8.54,夜间游览·开放式展区·大象表演·雨林早餐·河川生态,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
13,东亚,日本,,东京,东京迪士尼度假区,,主题乐园,迪士尼,,9.5,10.0,6.0,9.5,7.0,2-16岁,,12,200,USD,9.0,8.0,全年,3-5月/9-11月,8.5,10.0,6.0,9.5,9.5,0.8,全球服务最好的迪士尼，细节控天花板,8.8,迪士尼乐园·海洋·美女与野兽·翱翔·愤怒双神·烟花,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
14,东亚,日本,,大阪,大阪环球影城,,主题乐园,环球影城,,9.5,9.5,5.0,9.0,7.0,4-18岁,,12,180,USD,9.0,8.0,全年,3-5月/9-11月,8.0,10.0,6.0,9.5,9.5,0.9,超级任天堂世界首发地，亚洲最热门主题乐园,8.62,超级任天堂·哈利波特·小黄人·蜘蛛侠·飞天翼龙,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
15,东亚,日本,,冲绳,虹夕诺雅冲绳,,度假酒店,海岛度假,,9.5,7.0,7.0,10.0,6.0,全年龄,,48,150,USD,7.0,8.0,全年,3-6月/9-11月,8.5,10.0,5.0,9.5,9.5,0.9,日本冲绳海岛度假,8.41,无边泳池·私人海岸·琉球文化·SPA·海洋运动,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
16,东亚,日本,,冲绳,美丽海水族馆,,主题乐园,海洋馆,,9.2,9.5,7.0,8.0,7.0,2-14岁,,4,150,USD,7.0,8.0,全年,全年,8.0,9.0,8.0,9.3,9.3,0.7,日本冲绳海洋馆,8.44,黑潮之海巨大水槽·鲸鲨·海豚·珊瑚·触摸池·翡翠海滩,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
17,东亚,日本,,箱根,强罗花坊温泉旅馆,,度假酒店,温泉旅馆,,9.2,5.0,8.0,10.0,7.0,全年龄,,24,350,USD,7.0,7.0,秋冬,10-3月,9.0,9.0,6.0,9.5,9.5,0.9,日本箱根温泉旅馆,8.33,露天温泉·怀石料理·庭园·富士山·箱根登山铁道,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
18,东亚,日本,,三重县,志摩观光酒店,,度假酒店,海湾度假,,9.0,6.0,8.0,9.5,7.0,全年龄,,48,350,USD,6.0,7.0,全年,4-6月/9-11月,8.0,9.0,6.0,9.5,9.5,0.7,日本三重县海湾度假,8.14,英虞湾·伊势龙虾·温泉·SPA·伊势神宫·珍珠,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
19,东亚,日本,,长崎,豪斯登堡,,主题乐园,荷兰风情,,8.5,8.0,7.0,9.0,6.0,3-14岁,,10,100,USD,6.0,7.0,全年,3-5月(郁金香)/10-2月(灯光),8.0,8.5,7.0,9.5,9.5,1.4,日本长崎荷兰风情,8.07,千万灯光王国·运河游船·VR馆·机器人酒店·花园,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
20,东亚,日本,,北海道,星野TOMAMU,,度假酒店,滑雪度假,,9.2,9.0,5.0,9.5,6.0,3-14岁,,48,300,USD,6.0,5.0,冬夏,12-3月/6-8月,7.5,9.5,6.0,9.5,9.5,1.0,北海道云海和粉雪，冰之教堂浪漫至极,8.06,云海·粉雪·冰之教堂·微笑海滩·水之教堂·牧场,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
21,东亚,日本,,的矢湾,VISON综合度假村,,度假综合体,美食温泉,,8.5,7.0,7.0,9.0,8.0,全年龄,,24,200,USD,5.0,7.0,全年,4-6月/9-11月,8.0,8.5,7.0,9.5,9.5,1.4,日本的矢湾美食温泉,8.03,温泉·日本最大商业施设·药草园·手工体验·本草SPA,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
22,东亚,日本,,名古屋,乐高乐园日本,,主题乐园,亲子乐园,,8.5,10.0,5.0,7.0,4.0,2-12岁,,8,80,USD,8.0,8.0,全年,3-10月,7.0,9.0,7.0,9.5,9.5,0.6,2-12岁孩子的天堂，一切皆可乐高,7.98,Miniland·忍者训练·潜水艇冒险·4D影院·水上乐园,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
23,东南亚,柬埔寨,,暹粒,Park Hyatt暹粒,,度假酒店,文化度假,,9.0,5.0,7.0,9.5,8.0,全年龄,,48,50,USD,6.0,6.0,冬春,11-3月,9.5,9.0,6.5,7.0,7.0,1.8,柬埔寨暹粒文化度假,7.7,管家·泳池·SPA·吴哥日出·柬式烹饪·夜市,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
24,东南亚,柬埔寨,,西哈努克,宋萨私人岛,,度假酒店,海岛奢华,,9.5,4.0,4.0,10.0,6.0,12-18岁,,72,800,USD,3.0,5.0,冬春,11-4月,9.0,8.5,4.5,7.0,6.5,2.1,柬埔寨西哈努克海岛奢华,6.88,私人岛·浮潜·潜水·皮划艇·钓鱼·观星·无人沙滩,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
25,东南亚,泰国,,清迈,四季度假酒店,,度假酒店,田园度假,,9.5,7.0,7.0,10.0,7.0,4-14岁,,48,45,USD,7.0,8.0,冬春,11-2月,8.5,9.5,5.5,7.9,7.9,1.7,泰国清迈田园度假,8.11,稻田泳池·大象营·泰菜课·SPA·瑜伽·寺庙,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
26,东南亚,泰国,,普吉岛,悦榕庄,,度假酒店,海岛奢华,,9.2,7.0,7.0,10.0,6.0,4-14岁,,48,80,USD,7.0,8.0,冬春,11-4月,8.0,9.5,6.0,8.0,8.0,1.6,泰国普吉岛海岛奢华,8.03,泳池别墅·SPA·浮潜·皮划艇·泰菜课·日落,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
27,东南亚,泰国,,曼谷,暹罗水世界,,主题乐园,水上乐园,,8.5,9.5,5.0,7.5,5.0,4-16岁,,8,60,USD,9.0,8.0,全年,11-4月,6.0,9.0,8.5,7.9,7.9,2.6,泰国曼谷水上乐园,7.79,冲浪·超级碗·懒人河·暗黑漩涡·儿童水城,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
28,东南亚,泰国,,普吉岛,幻多奇乐园,,主题乐园,文化演艺,,8.5,8.5,7.0,8.0,6.0,3-14岁,,5,60,USD,7.0,8.0,全年,11-4月,8.0,8.0,8.5,8.0,8.0,2.2,泰国普吉岛文化演艺,7.89,大型演出·自助晚宴·大象·虎园·嘉年华,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
29,东南亚,泰国,,华欣,华欣洲际度假酒店,,度假酒店,皇家海滨,,8.5,7.0,7.0,9.5,6.0,3-12岁,,48,200,USD,6.0,8.0,冬春,11-3月,7.5,9.0,7.0,7.9,7.9,1.8,泰国华欣皇家海滨,7.76,皇家沙滩·SPA·高尔夫·骑马·夜市·筷子山,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
30,东南亚,泰国,,甲米,甲米奥南海滩度假区,,度假区域,海岛度假,,8.8,7.0,5.0,9.5,8.0,4-14岁,,48,100,USD,6.0,7.0,冬春,11-4月,8.0,7.5,8.5,8.0,8.0,2.1,泰国甲米海岛度假,7.78,四岛游·攀岩·皮划艇·浮潜·夜市·温泉瀑布,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
31,东南亚,泰国,,芭提雅,真理圣殿,,文化景区,木雕建筑,,8.5,5.0,5.0,8.5,8.0,6-16岁,,3,60,USD,8.0,8.0,全年,11-4月,9.5,7.0,9.0,7.5,7.5,2.4,泰国芭提雅木雕建筑,7.78,全木雕寺庙·骑马·骑象·真理之眼·快艇·海豚表演,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
32,东南亚,泰国,,芭提雅,拉玛雅纳水上乐园,,主题乐园,水上乐园,,8.5,9.0,5.0,8.0,5.0,4-16岁,,6,60,USD,8.0,8.0,全年,11-4月,6.5,8.5,8.5,7.5,7.5,2.4,泰国芭提雅水上乐园,7.64,双螺旋·巨蟒·漂流河·浪池·自由落体,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
33,东南亚,泰国,,苏梅岛,W酒店,,度假酒店,潮流度假,,9.0,6.0,5.0,10.0,7.0,8-18岁,,48,300,USD,6.0,7.0,冬春,12-4月,7.0,9.5,6.0,8.0,7.5,1.4,泰国苏梅岛潮流度假,7.6,无边泳池·日落吧·SPA·浮潜·DJ之夜·瑜伽,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
34,东南亚,泰国,,芭提雅,绿山野生动物园,,生态乐园,动物园,,8.0,8.5,6.0,7.5,6.0,2-12岁,,5,60,USD,7.0,8.0,全年,11-4月,7.0,7.0,9.0,7.5,7.5,2.0,泰国芭提雅动物园,7.45,长颈鹿喂食·大象·鹦鹉·丛林·水乐园·恐龙谷,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
35,东南亚,泰国,,普吉岛,蓝树水上乐园,,主题乐园,水上乐园,,8.0,9.0,5.0,7.5,5.0,3-14岁,,5,80,USD,7.0,8.0,全年,11-4月,5.5,7.5,9.0,8.0,8.0,2.7,泰国普吉岛水上乐园,7.38,滑水道·FlowRider冲浪·跳台·沙滩排球·餐吧,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
36,东南亚,泰国,,考艾,Bonanza异域动物园,,生态乐园,动物园,,8.0,9.0,5.0,7.0,5.0,2-10岁,,5,20,USD,5.0,7.0,冬春,11-3月,6.5,6.5,9.5,8.0,8.0,1.8,泰国考艾动物园,7.16,长颈鹿喂食·小鹿·骆驼·农场·拍照,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
37,东南亚,菲律宾,,长滩岛,香格里拉度假酒店,,度假酒店,海岛度假,,9.0,8.0,6.0,9.5,6.0,3-12岁,,48,200,USD,6.0,7.0,旱季,11-5月,7.5,9.0,7.0,6.4,5.4,2.3,菲律宾长滩岛海岛度假,7.37,私人沙滩·浮潜·SPA·儿童乐园·日落帆船·跳岛,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
38,东南亚,菲律宾,,薄荷岛,蜜蜂农场度假村,,度假酒店,生态度假,,8.0,7.0,5.0,8.5,7.0,4-14岁,,48,80,USD,5.0,7.0,旱季,12-5月,7.5,7.0,9.0,6.4,5.4,2.7,菲律宾薄荷岛生态度假,6.95,有机农场·浮潜·巧克力山·眼镜猴·萤火虫·海鲜,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
39,东南亚,菲律宾,,宿务,种子度假村,,度假酒店,生态度假,,8.5,5.0,4.0,9.5,7.0,8-18岁,,48,80,USD,6.0,7.0,全年,11-5月,8.0,7.0,8.5,6.5,5.5,2.5,菲律宾宿务生态度假,7.04,浮潜·潜水·观鲸鲨·岛屿跳岛·瀑布·当地美食,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
40,东南亚,菲律宾,,巴拉望,一岛一酒店(明尼洛克),,度假酒店,海岛奢华,,9.5,5.0,4.0,10.0,6.0,8-18岁,,72,500,USD,3.0,5.0,旱季,11-5月,9.5,8.5,5.5,6.5,5.5,2.1,菲律宾巴拉望海岛奢华,6.91,私人泻湖·皮划艇·浮潜·潜水·悬崖跳水·无人岛,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
41,东南亚,越南,,岘港,巴拿山太阳世界,,主题乐园,综合度假,,8.8,8.5,5.0,9.0,7.0,4-16岁,,10,50,USD,7.0,7.0,春,2-5月,8.0,8.5,8.5,8.0,7.5,2.3,越南版迪士尼，佛手金桥成网红打卡点,7.92,佛手金桥·法式小镇·Fantasy Park·缆车·蜡像馆,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
42,东南亚,越南,,富国岛,JW万豪翡翠湾,,度假酒店,海岛度假,,9.0,8.0,7.0,9.5,6.0,3-12岁,,48,200,USD,6.0,6.0,冬春,11-4月,7.0,9.5,7.0,8.0,7.5,1.7,越南富国岛海岛度假,7.77,私人沙滩·3泳池·水疗·浮潜·越式烹饪·日落吧,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
43,东南亚,越南,,芽庄,珍珠岛乐园,,主题乐园,综合度假,,8.5,9.0,5.0,8.0,6.0,3-14岁,,10,40,USD,7.0,7.0,春夏,1-8月,7.0,8.5,8.5,8.0,7.5,2.2,越南芽庄综合度假,7.67,过山车·水乐园·水族馆·跨海缆车·海豚·游戏城,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
44,东南亚,越南,,富国岛,太阳世界自然公园,,主题乐园,动物主题,,8.5,9.0,5.0,7.5,6.0,3-12岁,,8,35,USD,6.0,6.0,冬春,11-4月,7.5,8.0,8.5,8.0,7.5,2.2,越南富国岛动物主题,7.5,全球最长缆车·动物园·水乐园·游乐场,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
45,东南亚,越南,,下龙湾,邮轮度假(天堂号),,度假邮轮,海湾邮轮,,9.0,6.0,6.0,9.5,7.0,6-16岁,,48,150,USD,5.0,6.0,春秋,10-4月,9.0,8.0,7.0,7.5,7.0,2.1,越南下龙湾海湾邮轮,7.51,海湾巡航·溶洞·皮划艇·太极·烹饪课·夜钓·日出,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
46,东南亚,越南,,富国岛,太阳世界吻桥乐园,,主题乐园,综合游乐,,8.0,8.5,4.0,8.0,6.0,4-16岁,,8,30,USD,6.0,7.0,冬春,11-4月,7.0,8.0,9.0,8.0,7.5,2.3,越南富国岛综合游乐,7.42,吻桥·过山车·旋转木马·缆车·水上屋·海滨,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
47,东亚,韩国,,首尔,乐天世界水族馆,,主题乐园,海洋馆,,8.5,9.0,7.0,7.5,6.0,2-12岁,,3,130,USD,10.0,8.0,全年,全年,7.0,9.0,7.5,8.7,8.4,1.1,韩国首尔海洋馆,8.17,白鲸·企鹅·海底隧道·水獭·触摸池·VR深海,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
48,东亚,韩国,,京畿道,乐天世界,,主题乐园,综合游乐,,8.8,9.0,5.0,8.5,7.0,3-16岁,,10,70,USD,9.0,8.0,全年,4-6月/9-10月,7.0,9.0,7.5,8.7,8.4,1.5,韩国京畿道综合游乐,8.16,最大室内乐园·法老之怒·飞天海盗·冰上表演,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
49,东亚,韩国,,京畿道,爱宝乐园,,主题乐园,综合游乐,,9.0,9.5,5.0,8.5,6.0,4-18岁,,10,80,USD,8.0,8.0,全年,4-6月/9-10月,7.0,9.5,7.5,8.7,8.4,1.3,韩国最大主题乐园，T-Express木质过山车,8.13,T-Express·亚马逊漂流·动物王国·四季花园·烟花,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
50,东亚,韩国,,济州岛,济州神话世界,,度假综合体,综合度假,,8.5,9.0,6.0,8.5,5.0,3-14岁,,48,150,USD,7.0,7.0,全年,4-6月/9-10月,7.0,9.0,7.0,8.7,8.2,1.5,韩国济州岛综合度假,7.8,蓝鼎乐园·水上乐园·YG体验馆·高尔夫·SPA,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
51,东亚,韩国,,江原道,Alpensia度假村,,度假酒店,滑雪度假,,8.5,8.0,5.0,9.0,6.0,4-16岁,,48,200,USD,6.0,5.0,冬,12-3月,7.0,9.0,7.0,8.7,8.2,1.9,韩国江原道滑雪度假,7.61,滑雪场·水上乐园·高尔夫·Sky Jump·KTX直达,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
52,南亚(免签),马尔代夫,,北马累,瑞吉度假酒店,,度假酒店,海岛奢华,,9.5,7.0,6.0,10.0,5.0,全年龄,,72,1200,USD,5.0,5.0,冬春,11-4月,8.0,10.0,4.5,9.0,8.0,1.0,马尔代夫北马累海岛奢华,7.71,水上别墅·珊瑚花园·SPA·海钓·日落游艇·管家,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
53,南亚(免签),马尔代夫,,马累环礁,索尼娃富士,,度假酒店,海岛奢华,,9.8,7.0,5.0,10.0,5.0,4-14岁,,72,1500,USD,4.0,5.0,冬春,11-4月,9.0,10.0,4.0,9.0,8.0,1.3,马尔代夫最顶级度假村，自带天文台和海底餐厅,7.68,水上别墅·天文台·海底餐厅·浮潜·SPA·无人岛·海豚,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
54,南亚(免签),马尔代夫,,诺环礁,JOALI Maldives,,度假酒店,艺术海岛,,9.5,7.0,5.0,10.0,5.0,全年龄,,72,1000,USD,4.0,5.0,冬春,11-4月,9.0,10.0,4.0,9.0,8.0,1.4,马尔代夫诺环礁艺术海岛,7.64,艺术装置·水上别墅·ESPA·无人岛·海龟放归·海底画廊,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
55,南亚(免签),马尔代夫,,南阿里,丽世度假村,,度假酒店,海岛度假,,9.0,8.0,6.0,9.5,5.0,3-12岁,,72,500,USD,4.0,5.0,冬春,11-4月,8.5,8.5,6.0,9.0,8.0,2.1,马尔代夫南阿里海岛度假,7.59,鲸鲨浮潜·沙洲野餐·SPA·水上运动·海底餐厅,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
56,南亚(免签),马尔代夫,,巴环礁,安纳塔拉吉哈瓦,,度假酒店,海底奢华,,9.5,6.0,5.0,10.0,5.0,4-14岁,,72,800,USD,4.0,5.0,冬春,11-4月,9.0,9.5,5.0,9.0,8.0,1.6,马尔代夫巴环礁海底奢华,7.6,全球首家海底餐厅·浮潜·SPA·日落巡航·管家,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
57,南亚(免签),马尔代夫,,拉环礁,悦椿度假村,,度假酒店,海岛度假,,8.8,8.0,6.0,9.5,5.0,2-12岁,,72,400,USD,4.0,5.0,冬春,11-4月,8.0,8.5,6.5,9.0,8.0,2.1,马尔代夫拉环礁海岛度假,7.55,儿童俱乐部·浮潜·钓鱼·SPA·沙滩烧烤·水上别墅,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
58,东南亚,马来西亚,,沙巴,香格里拉丹绒亚路,,度假酒店,海滨度假,,9.0,8.5,7.0,9.5,6.0,3-12岁,,48,200,USD,7.0,7.0,全年,3-5月,8.0,9.0,7.0,8.2,8.3,1.5,马来西亚沙巴海滨度假,8.08,全球最美落日·3泳池·浮潜·SPA·自然巡游,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
59,东南亚,马来西亚,,兰卡威,达泰度假酒店,,度假酒店,雨林海岛,,9.5,6.0,6.0,10.0,7.0,6-16岁,,48,80,USD,6.0,7.0,冬春,11-3月,9.0,9.5,6.0,8.2,8.5,1.6,马来西亚兰卡威雨林海岛,8.05,雨林SPA·私人沙滩·自然导览·皮划艇·瑜伽·高尔夫,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
60,东南亚,马来西亚,,吉隆坡,云顶高原度假城,,度假综合体,综合娱乐,,8.5,8.5,6.0,8.0,7.0,4-16岁,,48,70,USD,7.0,8.0,全年,全年,7.0,9.0,8.0,8.2,8.7,1.8,马来西亚吉隆坡综合娱乐,7.95,主题乐园·赌场·购物·室内游乐·20度避暑,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
61,东南亚,马来西亚,,槟城,硬石酒店,,度假酒店,海滨娱乐,,8.0,8.0,6.0,8.0,6.0,4-16岁,,48,100,USD,8.0,8.0,全年,12-3月,6.5,8.5,8.0,8.2,8.7,1.9,马来西亚槟城海滨娱乐,7.78,沙滩·泳池·Rock Spa·音乐主题·儿童区·水上运动,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
62,东南亚,马来西亚,,新山,乐高乐园,,主题乐园,亲子乐园,,9.0,10.0,5.0,7.0,4.0,2-12岁,,8,60,USD,7.0,7.0,全年,3-10月,7.5,9.0,8.0,8.2,8.5,1.1,2-12岁孩子的天堂，一切皆可乐高,7.8,Miniland·水上乐园·海洋中心·忍者旋风·4D电影,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
63,东南亚,马来西亚,,吉隆坡,双威水上乐园,,主题乐园,水上乐园,,8.5,9.5,4.0,7.5,5.0,3-16岁,,6,70,USD,8.0,8.0,全年,全年,5.5,8.5,9.0,8.2,8.7,2.1,马来西亚吉隆坡水上乐园,7.71,Vuvuzela·大型滑道·冲浪·漂流河·儿童区·野生动物园,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
