序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,口碑方差,备注,综合加权满意度,特色活动与玩法,数据来源
1,国内,中国,,万宁,日月湾冲浪小镇,,度假小镇,冲浪运动,国内,8.5,6.0,3.0,9.0,8.5,10-18岁,,48,500,RMB,6.0,7.0,冬春,10-3月,7.5,7.0,8.0,9.5,10.0,1.3,万宁冲浪运动景区,7.78,冲浪教学·瑜伽·沙滩篝火·海鲜·冲浪赛,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
2,国内,中国,,三亚,亚特兰蒂斯酒店,,度假酒店,海岛度假,国内,9.2,9.5,7.0,9.5,6.0,3-14岁,,48,1800,RMB,8.0,8.0,冬春,11-4月,7.0,10.0,6.0,9.5,10.0,1.2,三亚地标度假酒店，自带水世界和水族馆,8.54,水世界·失落的空间水族馆·海豚湾·C秀·私人沙滩·水下套房·SPA·海底餐厅,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
3,国内,中国,,三亚,亚龙湾美高梅,,度假酒店,海岛度假,国内,8.8,8.0,8.0,9.5,7.0,4-12岁,,48,1200,RMB,8.0,8.0,冬春,11-4月,7.0,9.5,6.5,9.5,10.0,1.9,三亚海岛度假景区,8.49,无边泳池·私人沙滩·潜水·SPA·高尔夫·瑜伽·儿童乐园,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
4,国内,中国,,三亚,三亚Club Med,,度假酒店,一价全包,国内,8.8,9.5,7.0,9.5,5.0,2-17岁,,48,1500,RMB,8.0,8.0,冬春,11-4月,7.0,9.5,6.0,9.5,10.0,1.1,一价全包家庭度假，空中飞人是亮点,8.39,空中飞人·攀岩·射箭·帆船·浮潜·儿童俱乐部·晚间秀·瑜伽,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
5,国内,中国,,三亚,亚龙湾森林公园,,生态乐园,热带生态,国内,8.8,7.0,5.0,9.5,8.0,6-16岁,,6,200,RMB,8.0,8.0,冬春,10-4月,8.5,8.0,7.5,9.5,10.0,1.4,三亚热带生态景区,8.39,玻璃栈道·索桥·鸟巢度假·全海湾观景·兰花谷,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
6,国内,中国,,三亚,三亚半山半岛洲际,,度假酒店,海湾度假,国内,8.8,7.0,7.0,9.5,7.0,5-14岁,,48,1100,RMB,8.0,8.0,冬春,11-4月,7.0,9.5,6.5,9.5,10.0,1.4,三亚海湾度假景区,8.37,私人游艇码头·高尔夫·无边泳池·SPA·海钓·直升机观光,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
7,国内,中国,,三亚,海棠湾红树林度假世界,,度假酒店,海岛度假,国内,8.5,9.0,7.0,9.0,6.0,3-12岁,,48,800,RMB,8.0,8.0,冬春,11-4月,6.5,9.0,7.5,9.5,10.0,1.7,三亚海岛度假景区,8.33,影城·亚马逊水乐园·艺术汇·红树林探索·SPA·BBQ,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
8,国内,中国,,三亚,亚龙湾万豪度假酒店,,度假酒店,海滨度假,国内,8.5,8.5,7.0,9.0,6.0,3-12岁,,48,1000,RMB,8.0,8.0,冬春,11-4月,6.5,9.0,7.0,9.5,10.0,1.1,三亚海滨度假景区,8.26,5泳池·私人沙滩·SPA·沙滩排球·浮潜·儿童乐园·烧烤,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
9,国内,中国,,三亚,千古情景区,,主题乐园,文化演艺,国内,8.5,8.0,7.0,8.0,6.0,4-14岁,,4,300,RMB,8.0,8.0,全年,11-4月,8.0,8.5,7.0,9.5,10.0,1.7,三亚文化演艺景区,8.25,千古情演出·冰雪世界·动物园·水公园·鬼域,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
10,国内,中国,,三亚,海昌梦幻不夜城,,主题乐园,海洋主题,国内,8.5,9.5,6.0,8.0,6.0,3-14岁,,8,300,RMB,8.0,8.0,全年,11-4月,7.0,8.5,7.5,9.5,10.0,1.3,三亚海洋主题景区,8.23,海豚表演·过山车·摩天轮·灯光秀·VR体验·美食街,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
11,国内,中国,,三亚,蜈支洲岛珊瑚酒店,,度假酒店,海岛度假,国内,9.0,8.0,5.0,9.5,7.0,8-16岁,,48,2000,RMB,7.0,7.0,冬春,10-5月,8.0,8.5,5.5,9.5,10.0,1.8,三亚最佳潜水点，私属海岛度假,8.15,潜水·海钓·拖伞·摩托艇·海上飞人·环岛·日出,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
12,国内,中国,,三亚,天涯海角,,自然景区,海滨文化,国内,8.0,6.0,7.0,9.0,7.0,全年龄,,3,100,RMB,8.0,8.0,冬春,11-4月,7.5,7.5,7.5,9.5,10.0,3.8,三亚海滨文化景区,8.08,天涯石·海角石·爱情广场·沙滩·日落·婚纱摄影,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
13,国内,中国,,三亚,南湾猴岛,,生态乐园,动物生态,国内,8.0,8.5,6.0,7.0,7.0,3-12岁,,5,150,RMB,7.0,8.0,全年,11-4月,7.5,7.0,8.0,9.5,10.0,1.6,三亚动物生态景区,7.92,猕猴互动·跨海索道·浮桥·猴艺表演·渔村,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
14,国内,中国,,三亚,鹿回头风景区,,自然景区,观景台,国内,8.0,5.0,6.0,9.0,7.0,全年龄,,2,80,RMB,8.0,8.0,冬春,11-4月,7.0,7.0,8.0,9.5,10.0,2.0,三亚观景台景区,7.89,360度观景·夜景·爱情传说·滑翔伞·日落,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
15,国内,中国,,三亚,大小洞天,,自然景区,道教文化,国内,8.0,5.0,6.0,8.0,8.0,全年龄,,3,100,RMB,7.0,8.0,冬春,11-4月,8.0,7.0,7.5,9.5,10.0,1.3,三亚道教文化景区,7.85,南山不老松·小洞天·海岸栈道·岩洞·摩崖石刻,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
16,国内,中国,,上海,上海迪士尼,,主题乐园,迪士尼,国内,9.5,10.0,6.0,9.0,7.0,2-16岁,,12,800,RMB,10.0,8.0,全年,3-5月/9-11月,8.0,10.0,6.0,9.5,10.0,1.0,中国大陆唯一迪士尼，创极速光轮全球独有,8.84,创极速光轮·加勒比海盗·翱翔·花车巡游·烟花·疯狂动物城,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
17,国内,中国,,上海,上海海洋水族馆,,主题乐园,海洋馆,国内,8.5,9.0,7.0,7.0,6.0,2-12岁,,3,200,RMB,10.0,8.0,全年,全年,7.5,8.5,7.0,9.5,10.0,1.3,上海海洋馆景区,8.35,155米海底隧道·鲨鱼·企鹅·水母·中华鲟·海龟,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
18,国内,中国,,上海,上海佘山世茂洲际酒店,,度假酒店,深坑酒店,国内,9.0,7.0,6.0,9.5,7.0,全年龄,,24,1500,RMB,7.0,8.0,全年,全年,8.5,9.5,5.5,9.5,10.0,1.2,上海深坑酒店景区,8.34,深坑奇观·水下客房·悬崖蹦极·攀岩·水幕秀·SPA,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
19,国内,中国,,上海,海昌海洋公园,,主题乐园,海洋主题,国内,8.5,9.5,6.0,8.0,5.0,2-12岁,,8,400,RMB,8.0,8.0,全年,4-10月,7.5,9.0,7.0,9.5,10.0,1.2,上海海洋主题景区,8.24,虎鲸表演·火山漂流·缆车·企鹅馆·冰山过山车,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
20,国内,中国,,上海,上海野生动物园,,生态乐园,动物园,国内,8.5,9.5,6.0,7.0,5.0,2-12岁,,6,300,RMB,8.0,8.0,全年,3-5月/9-11月,7.5,8.5,7.0,9.5,10.0,1.3,上海动物园景区,8.11,自驾区·步行区·大熊猫·金丝猴·海狮表演·猛兽区投喂,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
21,国内,中国,,上海,上海欢乐谷,,主题乐园,综合游乐,国内,8.0,9.0,4.0,8.0,6.0,6-18岁,,8,300,RMB,9.0,8.0,全年,4-10月,6.5,8.5,7.0,9.5,10.0,1.6,上海综合游乐景区,8.02,绝顶雄风·天地双雄·谷木游龙·激流勇进·万圣节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
22,国内,中国,,上海,乐高探索中心,,主题乐园,亲子乐园,国内,8.0,10.0,5.0,6.0,3.0,3-10岁,,4,250,RMB,10.0,8.0,全年,全年,6.5,8.5,6.5,9.5,10.0,1.1,上海亲子乐园景区,7.86,乐高积木·4D影院·迷你天地·赛车场·忍者训练,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
23,国内,中国,,上海,锦江乐园,,主题乐园,综合游乐,国内,7.5,8.0,5.0,7.0,5.0,4-14岁,,5,150,RMB,9.0,8.0,全年,4-10月,5.5,7.5,8.5,9.5,10.0,1.4,上海综合游乐景区,7.71,摩天轮·过山车·峡谷漂流·碰碰车·旋转木马·怀旧情怀,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
24,国内,中国,,上海,上海世茂精灵之城主题乐园,,主题乐园,亲子乐园,国内,7.5,9.5,5.0,6.0,3.0,3-8岁,,5,350,RMB,9.0,8.0,全年,全年,6.0,8.5,6.5,9.5,10.0,1.5,上海亲子乐园景区,7.63,蓝精灵·奥特曼·火影忍者·室内过山车·VR体验,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
25,国内,中国,,丽江,丽江古城·束河,,度假小镇,古镇休闲,国内,9.0,7.0,7.0,9.5,9.0,全年龄,,24,500,RMB,8.0,8.0,全年,3-5月/9-11月,9.5,8.0,8.0,9.5,10.0,3.5,纳西族古城，雪山下的小桥流水人家,8.72,古城漫步·酒吧街·纳西古乐·手鼓·骑马,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
26,国内,中国,,丽江,金茂璞修雪山酒店,,度假酒店,雪山度假,国内,9.0,6.0,6.0,10.0,7.0,6-16岁,,48,2500,RMB,6.0,5.0,秋冬,10-4月,9.0,9.0,5.0,9.5,10.0,1.1,丽江雪山度假景区,8.07,雪山观景·温泉·纳西文化·骑马·徒步·管家·星空,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
27,国内,中国,,亚布力,Club Med亚布力,,度假酒店,滑雪度假,国内,8.5,8.5,5.0,9.0,6.0,4-17岁,,48,1200,RMB,5.0,3.0,冬,12-3月,7.0,8.5,6.5,9.5,10.0,1.9,亚布力滑雪度假景区,7.66,一价全包·滑雪教学·雪地徒步·温泉·冰壶·儿童俱乐部,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
28,国内,中国,,佛山,长鹿旅游休博园,,主题乐园,综合游乐,国内,8.0,9.0,5.0,7.0,4.0,3-12岁,,8,250,RMB,7.0,8.0,全年,3-5月/9-11月,6.5,8.0,8.0,9.5,10.0,1.8,佛山综合游乐景区,7.74,尖叫岛·童话动物王国·海陆空动物表演·水世界·机动游戏,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
29,国内,中国,,保亭,呀诺达雨林,,生态乐园,热带雨林,国内,8.5,7.0,5.0,8.0,8.0,6-14岁,,5,200,RMB,6.0,8.0,冬春,11-4月,8.5,7.5,7.5,9.5,10.0,1.6,保亭热带雨林景区,8.01,踏瀑戏水·高空滑索·悬崖秋千·雨林栈道·药膳,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
30,国内,中国,,保亭,槟榔谷,,文化景区,黎苗文化,国内,8.0,7.0,6.0,7.0,7.0,4-14岁,,4,150,RMB,6.0,8.0,全年,11-4月,8.5,7.0,8.0,9.5,10.0,1.6,保亭黎苗文化景区,7.84,黎族织锦·苗族蜡染·打柴舞·竹竿舞·民俗演出,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
31,国内,中国,,北京,北京环球度假区,,主题乐园,环球影城,国内,9.5,9.5,5.0,9.0,7.0,6-18岁,,12,800,RMB,10.0,7.0,春秋,4-5月/9-10月,8.0,10.0,6.0,9.5,10.0,0.8,全球最大环球影城，哈利波特魔法世界,8.72,哈利波特·变形金刚·侏罗纪·功夫熊猫·小黄人·霸天虎,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
32,国内,中国,,北京,国家体育场(鸟巢),,都市地标,奥运遗产,国内,8.0,6.0,7.0,7.0,8.0,全年龄,,2,100,RMB,10.0,8.0,全年,5-10月,8.0,8.5,7.5,9.5,10.0,1.4,北京奥运遗产景区,8.29,奥运场馆参观·夜景灯光·顶部步道·冬季冰雪季,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
33,国内,中国,,北京,北京海洋馆,,主题乐园,海洋馆,国内,8.0,9.0,7.0,7.0,5.0,2-10岁,,3,200,RMB,9.0,8.0,全年,全年,7.0,8.5,7.0,9.5,10.0,1.5,北京海洋馆景区,8.09,海豚表演·鲨鱼馆·珊瑚馆·海底隧道·触摸池,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
34,国内,中国,,北京,北京欢乐谷,,主题乐园,综合游乐,国内,8.5,9.0,4.0,8.0,6.0,6-18岁,,8,300,RMB,9.0,8.0,全年,4-10月,6.5,8.5,7.0,9.5,10.0,1.8,北京综合游乐景区,8.08,水晶神翼·极速飞车·太阳神车·奇幻海洋馆·万圣节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
35,国内,中国,,北京,古北水镇,,度假小镇,古镇温泉,国内,8.5,7.0,6.0,9.0,7.0,4-14岁,,24,800,RMB,6.0,7.0,秋冬,9-2月,8.5,8.5,6.5,9.5,10.0,1.6,长城脚下的北方水镇，夜景温泉俱佳,8.08,司马台长城·温泉·夜游·手工作坊·无人机表演·民宿,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
36,国内,中国,,北京,北京野生动物园,,生态乐园,动物园,国内,8.5,9.5,6.0,7.0,5.0,2-12岁,,6,200,RMB,7.0,8.0,全年,4-10月,7.5,8.0,7.5,9.5,10.0,1.0,北京动物园景区,8.01,自驾猛兽区·步行区·猛禽表演·萌宠互动·丛林探险,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
37,国内,中国,,北京,水立方嬉水乐园,,主题乐园,水上乐园,国内,8.0,9.0,5.0,7.0,5.0,4-14岁,,5,250,RMB,10.0,5.0,夏,6-9月,7.0,8.5,7.0,9.5,10.0,1.9,北京水上乐园景区,7.95,海啸·龙卷风·急速暗涌·梦境漂流·泡泡池,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
38,国内,中国,,北京,南宫温泉水世界,,主题乐园,水上乐园,国内,7.5,9.0,6.0,7.0,4.0,2-10岁,,5,200,RMB,7.0,8.0,全年,11-3月,5.5,7.5,8.0,9.5,10.0,2.2,北京水上乐园景区,7.57,温泉滑道·儿童戏水·造浪池·漂流河·温泉鱼疗,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
39,国内,中国,,南京,银杏湖乐园,,主题乐园,综合游乐,国内,8.0,9.0,4.0,7.5,5.0,4-14岁,,8,250,RMB,7.0,8.0,全年,4-10月,6.5,8.0,7.5,9.5,10.0,1.8,南京综合游乐景区,7.74,过山车·大摆锤·激流勇进·恐龙世界·摩天轮·水世界,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
40,国内,中国,,哈尔滨,冰雪大世界,,主题乐园,冰雪主题,国内,9.5,8.0,4.0,9.0,7.0,4-16岁,,6,300,RMB,8.0,3.0,冬,12-2月,9.0,8.0,7.5,9.5,10.0,2.0,哈尔滨冬季必去，全球最大冰雕主题公园,8.24,冰雕城堡·冰滑梯·雪地摩托·灯光秀·烟花,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
41,国内,中国,,大连,发现王国,,主题乐园,综合游乐,国内,8.5,9.0,5.0,8.0,5.0,4-16岁,,8,300,RMB,8.0,6.0,夏秋,5-10月,7.0,8.5,7.0,9.5,10.0,1.7,大连综合游乐景区,7.97,眼镜蛇·沙漠风暴·飞越太平洋·花车·烟花,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
42,国内,中国,,大连,圣亚海洋世界,,主题乐园,海洋馆,国内,8.0,9.0,7.0,7.0,5.0,2-10岁,,4,200,RMB,8.0,6.0,全年,5-10月,7.0,8.0,7.0,9.5,10.0,1.6,大连海洋馆景区,7.87,海底隧道·白鲸表演·南极企鹅·珊瑚世界·恐龙传奇,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
43,国内,中国,,宁波,方特东方神画,,主题乐园,文化科技,国内,8.5,9.0,6.0,8.0,5.0,4-14岁,,8,350,RMB,8.0,8.0,全年,4-10月,8.0,9.0,7.5,9.5,10.0,1.6,宁波文化科技景区,8.3,女娲补天·牛郎织女·雷峰塔·熊出没,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
